Source_mac,Destination_mac,source_IP,Destination_IP,Protocol,FirstDate,LastDate,FirstStamp,LastStamp,FirstOridinalStamp,LastOridinalStamp,SenPacketsCount,SenBytesSum,SenBytesAvg,SenPayloadSum,SenPayloadAvg,SenLoad,SenTtlAvg,SenAckRate,SenFinRate,SenPshRate,SenSynRate,SenUrgRate,SenRstRate,SenTcpWindowAvg,SenFragmentRate,RecPacketsCount,RecBytesSum,RecBytesAvg,RecPayloadSum,RecPayloadAvg,RecLoad,RecTtlAvg,RecAckRate,RecFinRate,RecPshRate,RecSynRate,RecUrgRate,RecRstRate,RecTcpWindowAvg,RecFragmentRate,Sen_AckDelay,Rec_AckDelay,class
02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4:TCP,2022-06-14 22:43:49.003754,2022-06-14 22:43:49.407655,0.0,0.403901,1655239429.003754,1655239429.407655,21,1239,59.0,147,7.0,24540.6,64.0,1.0,0.0,0.571,0.0,0.0,0.0,503.0,0.0,15,933,62.2,153,10.2,18479.726,64.0,1.0,0.0,0.8,0.0,0.0,0.0,506.2,0.0,0.020532,0.028601,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4:TCP,2022-06-14 22:43:49.010145,2022-06-14 22:43:49.508304,0.006391,0.50455,1655239429.010145,1655239429.508304,16,1040,65.0,208,13.0,16701.456,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,32,1856,58.0,192,6.0,29805.675,64.0,1.0,0.0,0.5,0.0,0.0,0.0,502.0,0.0,0.000174,0.015991,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4:TCP,2022-06-14 22:43:49.013993,2022-06-14 22:43:49.509794,0.010239,0.50604,1655239429.013993,1655239429.509794,10,650,65.0,130,13.0,10488.058,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,20,1160,58.0,120,6.0,18717.15,64.0,1.0,0.0,0.5,0.0,0.0,0.0,502.0,0.0,0.000148,0.028299,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4:TCP,2022-06-14 22:43:49.601061,2022-06-14 22:43:50.008370,0.597307,1.004616,1655239429.601061,1655239430.00837,21,1239,59.0,147,7.0,24335.284,64.0,1.0,0.0,0.571,0.0,0.0,0.0,503.0,0.0,15,933,62.2,153,10.2,18325.117,64.0,1.0,0.0,0.8,0.0,0.0,0.0,506.2,0.0,0.020562,0.029254,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4:TCP,2022-06-14 22:43:50.200570,2022-06-14 22:43:50.608417,1.196816,1.604663,1655239430.20057,1655239430.608417,20,1187,59.35,147,7.35,23283.188,64.0,1.0,0.0,0.6,0.0,0.0,0.0,503.05,0.0,15,933,62.2,153,10.2,18300.939,64.0,1.0,0.0,0.8,0.0,0.0,0.0,506.2,0.0,0.02397,0.029246,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4:TCP,2022-06-14 22:43:50.007662,2022-06-14 22:43:50.506725,1.003908,1.502971,1655239430.007662,1655239430.506725,16,1040,65.0,208,13.0,16671.208,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,32,1856,58.0,192,6.0,29751.694,64.0,1.0,0.0,0.5,0.0,0.0,0.0,502.0,0.0,0.000165,0.016024,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4:TCP,2022-06-14 22:43:50.010142,2022-06-14 22:43:50.508649,1.006388,1.504895,1655239430.010142,1655239430.508649,10,650,65.0,130,13.0,10431.126,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,20,1160,58.0,120,6.0,18615.548,64.0,1.0,0.0,0.5,0.0,0.0,0.0,502.0,0.0,0.000154,0.026163,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4:TCP,2022-06-14 22:43:50.802496,2022-06-14 22:43:51.247086,1.798742,2.243332,1655239430.802496,1655239431.247086,20,1187,59.35,147,7.35,21358.952,64.0,1.0,0.0,0.6,0.0,0.0,0.0,503.05,0.0,15,933,62.2,153,10.2,16788.461,64.0,1.0,0.0,0.8,0.0,0.0,0.0,506.2,0.0,0.023149,0.028819,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4:TCP,2022-06-14 22:43:51.004899,2022-06-14 22:43:51.006600,2.001145,2.002846,1655239431.004899,1655239431.0066,8,520,65.0,104,13.0,2444358.32,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,16,928,58.0,96,6.0,4362239.464,64.0,1.0,0.0,0.5,0.0,0.0,0.0,502.0,0.0,9.6e-05,6.8e-05,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4:TCP,2022-06-14 22:43:51.006703,2022-06-14 22:43:51.054927,2.002949,2.051173,1655239431.006703,1655239431.054927,5,325,65.0,65,13.0,53913.709,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,7,424,60.571,60,8.571,70336.655,64.0,1.0,0.0,0.714,0.0,0.0,0.0,502.0,0.0,0.000315,0.007778,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4:TCP,2022-06-14 22:43:51.400901,2022-06-14 22:43:51.803920,2.397147,2.800166,1655239431.400901,1655239431.80392,21,1239,59.0,147,7.0,24594.316,64.0,1.0,0.0,0.571,0.0,0.0,0.0,503.0,0.0,15,933,62.2,153,10.2,18520.175,64.0,1.0,0.0,0.8,0.0,0.0,0.0,506.2,0.0,0.020308,0.028787,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4:TCP,2022-06-14 22:43:51.508823,2022-06-14 22:43:52.008706,2.505069,3.004952,1655239431.508823,1655239432.008706,16,1040,65.0,208,13.0,16643.856,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,32,1856,58.0,192,6.0,29702.881,64.0,1.0,0.0,0.5,0.0,0.0,0.0,502.0,0.0,8e-05,0.016089,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4:TCP,2022-06-14 22:43:51.510459,2022-06-14 22:43:52.009835,2.506705,3.006081,1655239431.510459,1655239432.009835,10,650,65.0,130,13.0,10412.973,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,20,1160,58.0,120,6.0,18583.152,64.0,1.0,0.0,0.5,0.0,0.0,0.0,502.0,0.0,6.3e-05,0.026254,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4:TCP,2022-06-14 22:43:52.000673,2022-06-14 22:43:52.455006,2.996919,3.451252,1655239432.000673,1655239432.455006,20,1187,59.35,147,7.35,20900.931,64.0,1.0,0.0,0.6,0.0,0.0,0.0,503.05,0.0,15,933,62.2,153,10.2,16428.449,64.0,1.0,0.0,0.8,0.0,0.0,0.0,506.2,0.0,0.023419,0.029399,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4:TCP,2022-06-14 22:43:52.505721,2022-06-14 22:43:52.513744,3.501967,3.50999,1655239432.505721,1655239432.513744,8,520,65.0,104,13.0,518443.141,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,16,928,58.0,96,6.0,925221.605,64.0,1.0,0.0,0.5,0.0,0.0,0.0,502.0,0.0,0.000183,0.000451,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4:TCP,2022-06-14 22:43:52.514118,2022-06-14 22:43:52.518547,3.510364,3.514793,1655239432.514118,1655239432.518547,5,325,65.0,65,13.0,586893.943,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,10,580,58.0,60,6.0,1047379.961,64.0,1.0,0.0,0.5,0.0,0.0,0.0,502.0,0.0,0.000474,0.000239,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4:TCP,2022-06-14 22:43:52.600676,2022-06-14 22:43:53.026120,3.596922,4.022366,1655239432.600676,1655239433.02612,21,1239,59.0,147,7.0,23297.965,64.0,1.0,0.0,0.571,0.0,0.0,0.0,503.0,0.0,15,933,62.2,153,10.2,17543.988,64.0,1.0,0.0,0.8,0.0,0.0,0.0,506.2,0.0,0.022302,0.029106,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4:TCP,2022-06-14 22:43:53.015598,2022-06-14 22:43:53.515393,4.011844,4.511639,1655239433.015598,1655239433.515393,12,780,65.0,156,13.0,12485.095,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,25,1456,58.24,156,6.24,23305.511,64.0,1.0,0.0,0.52,0.0,0.0,0.0,502.0,0.0,0.000393,0.020663,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4:TCP,2022-06-14 22:43:53.200980,2022-06-14 22:43:53.612511,4.197226,4.608757,1655239433.20098,1655239433.612511,21,1239,59.0,147,7.0,24085.613,64.0,1.0,0.0,0.571,0.0,0.0,0.0,503.0,0.0,15,933,62.2,153,10.2,18137.108,64.0,1.0,0.0,0.8,0.0,0.0,0.0,506.2,0.0,0.020904,0.028795,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4:TCP,2022-06-14 22:43:53.515831,2022-06-14 22:43:54.014261,4.512077,5.010507,1655239433.515831,1655239434.014261,5,325,65.0,65,13.0,5216.369,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,6,360,60.0,48,8.0,5778.132,64.0,1.0,0.0,0.667,0.0,0.0,0.0,502.0,0.0,0.000556,0.090104,Normal
